ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240617,00950,0000002162,시장가,02,매수,000660,SK하이닉스,220,092725,220,224470,49383500,01,8,ai
20240617,00950,0000002189,시장가,02,매수,000990,DB하이텍,1196,092740,1196,41435,49556450,01,8,ai
20240617,00950,0000002308,시장가,02,매수,118990,모트렉스,3705,092851,3705,13374,49551540,01,8,ai
20240617,00950,0000002455,시장가,02,매수,066570,LG전자,497,093145,497,99798,49600100,01,8,ai
20240617,00950,0000003032,시장가,02,매수,053610,프로텍,1528,094535,1528,32566,49761300,01,8,ai
20240617,00950,0000005972,시장가,02,매수,033640,네패스,2927,110759,2927,16909,49495310,01,8,ai
20240617,00950,0000008338,시장가,02,매수,010120,LS ELECTRIC,237,130135,237,208464,49406000,01,8,ai
20240617,00950,0000008926,시장가,02,매수,035510,신세계 I&C,4667,133856,4667,11038,51517900,01,8,ai
20240617,00950,0000010281,시장가,01,매도,000660,SK하이닉스,220,151013,220,223206,49105500,01,8,ai
20240617,00950,0000010292,시장가,01,매도,000990,DB하이텍,1196,151017,1196,43655,52212300,01,8,ai
20240617,00950,0000010300,시장가,01,매도,010120,LS ELECTRIC,237,151020,237,206069,48838500,01,8,ai
20240617,00950,0000010311,시장가,01,매도,033640,네패스,2927,151024,697,16844,11740680,01,8,ai
20240617,00950,0000010320,시장가,01,매도,035510,신세계 I&C,4667,151028,215,10633,2286140,01,8,ai
20240617,00950,0000010329,시장가,01,매도,053610,프로텍,1528,151032,565,32453,18336150,01,8,ai
20240617,00950,0000010335,시장가,01,매도,066570,LG전자,497,151036,497,100393,49895400,01,8,ai
