ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240614,00950,0000018584,시장가,01,매도,000660,SK하이닉스,26,151015,26,221000,5746000,01,7,ai
20240614,00950,0000018592,시장가,01,매도,000990,DB하이텍,232,151018,232,40337,9358400,01,7,ai
20240614,00950,0000018600,시장가,01,매도,005930,삼성전자,131,151021,131,79992,10479000,01,7,ai
20240614,00950,0000018607,시장가,01,매도,010120,LS ELECTRIC,19,151024,19,200500,3809500,01,7,ai
20240614,00950,0000018614,시장가,01,매도,033640,네패스,574,151026,574,17002,9759220,01,7,ai
20240614,00950,0000018626,시장가,01,매도,053610,프로텍,176,151030,176,32272,5679950,01,7,ai
20240614,00950,0000018633,시장가,01,매도,066570,LG전자,57,151032,57,98859,5635000,01,7,ai
20240614,00950,0000018638,시장가,01,매도,093370,후성,709,151035,709,7751,5496020,01,7,ai
20240614,00950,0000018649,시장가,01,매도,118990,모트렉스,750,151040,750,13311,9983490,01,7,ai
