ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240614,00950,0000002319,시장가,02,매수,033640,네패스,387,093449,387,17109,6621530,01,5,ai
20240614,00950,0000002361,시장가,02,매수,010120,LS ELECTRIC,30,093611,30,191600,5748000,01,5,ai
20240614,00950,0000018578,시장가,01,매도,000660,SK하이닉스,29,151012,29,221000,6409000,01,5,ai
20240614,00950,0000018589,시장가,01,매도,000990,DB하이텍,146,151016,146,40330,5888300,01,5,ai
20240614,00950,0000018599,시장가,01,매도,005930,삼성전자,90,151020,90,79900,7191000,01,5,ai
20240614,00950,0000018608,시장가,01,매도,010120,LS ELECTRIC,30,151024,30,200500,6015000,01,5,ai
20240614,00950,0000018619,시장가,01,매도,033640,네패스,387,151027,387,17004,6580900,01,5,ai
20240614,00950,0000018627,시장가,01,매도,053610,프로텍,193,151030,193,32270,6228250,01,5,ai
20240614,00950,0000018635,시장가,01,매도,118990,모트렉스,514,151033,514,13311,6842320,01,5,ai
