ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240617,00950,0000002161,시장가,02,매수,000660,SK하이닉스,4,092724,4,224500,898000,01,3,ai
20240617,00950,0000002186,시장가,02,매수,000990,DB하이텍,23,092740,23,41452,953400,01,3,ai
20240617,00950,0000002223,시장가,02,매수,033640,네패스,58,092752,58,16910,980780,01,3,ai
20240617,00950,0000002260,시장가,02,매수,066570,LG전자,9,092812,9,99500,895500,01,3,ai
20240617,00950,0000002276,시장가,02,매수,053610,프로텍,30,092826,30,32250,967500,01,3,ai
20240617,00950,0000002290,시장가,02,매수,118990,모트렉스,73,092836,73,13390,977470,01,3,ai
20240617,00950,0000002301,시장가,02,매수,217820,원익피앤이,197,092846,197,4977,980540,01,3,ai
20240617,00950,0000003523,시장가,02,매수,035510,신세계 I&C,93,095715,93,10565,982630,01,3,ai
20240617,00950,0000006753,시장가,02,매수,010120,LS ELECTRIC,4,113148,4,203000,812000,01,3,ai
20240617,00950,0000008184,시장가,02,매수,005930,삼성전자,12,124904,12,79316,951800,01,3,ai
20240617,00950,0000010271,시장가,01,매도,000660,SK하이닉스,4,151007,4,223000,892000,01,3,ai
20240617,00950,0000010278,시장가,01,매도,000990,DB하이텍,23,151010,23,43650,1003950,01,3,ai
20240617,00950,0000010286,시장가,01,매도,005930,삼성전자,12,151014,12,78200,938400,01,3,ai
20240617,00950,0000010296,시장가,01,매도,010120,LS ELECTRIC,4,151017,4,206500,826000,01,3,ai
20240617,00950,0000010305,시장가,01,매도,033640,네패스,58,151021,58,16847,977140,01,3,ai
