ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240620,00950,0000002123,시장가,02,매수,005930,삼성전자,12,093053,12,81600,979200,01,3,ai
20240620,00950,0000002136,시장가,02,매수,000990,DB하이텍,19,093109,19,51647,981300,01,3,ai
20240620,00950,0000002147,시장가,02,매수,033640,네패스,63,093122,63,15575,981270,01,3,ai
20240620,00950,0000002161,시장가,02,매수,066570,LG전자,9,093140,9,108500,976500,01,3,ai
20240620,00950,0000002178,시장가,02,매수,053610,프로텍,30,093203,30,31750,952500,01,3,ai
20240620,00950,0000002184,시장가,02,매수,217820,원익피앤이,214,093219,214,4590,982260,01,3,ai
20240620,00950,0000002905,시장가,02,매수,000660,SK하이닉스,4,095957,4,234500,938000,01,3,ai
20240620,00950,0000003197,시장가,02,매수,035510,신세계 I&C,93,100656,93,10521,978490,01,3,ai
20240620,00950,0000009784,시장가,02,매수,118990,모트렉스,72,140505,72,13666,984010,01,3,ai
20240620,00950,0000011041,시장가,01,매도,000660,SK하이닉스,4,151010,4,236500,946000,01,3,ai
20240620,00950,0000011047,시장가,01,매도,000990,DB하이텍,19,151013,19,57636,1095100,01,3,ai
20240620,00950,0000011058,시장가,01,매도,005930,삼성전자,12,151019,12,81933,983200,01,3,ai
20240620,00950,0000011071,시장가,01,매도,033640,네패스,63,151024,63,15660,986580,01,3,ai
20240620,00950,0000011079,시장가,01,매도,035510,신세계 I&C,93,151028,93,10650,990450,01,3,ai
20240620,00950,0000011089,시장가,01,매도,053610,프로텍,30,151031,30,31550,946500,01,3,ai
