ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240617,00950,0000002163,시장가,02,매수,000660,SK하이닉스,220,092725,220,224470,49383500,01,6,ai
20240617,00950,0000002192,시장가,02,매수,000990,DB하이텍,1194,092740,1194,41435,49473650,01,6,ai
20240617,00950,0000002293,시장가,02,매수,066570,LG전자,496,092837,496,99696,49449700,01,6,ai
20240617,00950,0000002312,시장가,02,매수,118990,모트렉스,3699,092853,3699,13374,49471320,01,6,ai
20240617,00950,0000002401,시장가,02,매수,033640,네패스,2923,093028,2923,16886,49357990,01,6,ai
20240617,00950,0000002631,시장가,02,매수,053610,프로텍,1528,093542,1528,32433,49558500,01,6,ai
20240617,00950,0000008307,시장가,02,매수,010120,LS ELECTRIC,240,125958,240,205993,49438500,01,6,ai
20240617,00950,0000008937,시장가,02,매수,035510,신세계 I&C,4470,133904,4470,11040,49352040,01,6,ai
20240617,00950,0000010285,시장가,01,매도,000660,SK하이닉스,220,151014,220,223193,49102500,01,6,ai
20240617,00950,0000010295,시장가,01,매도,000990,DB하이텍,1194,151017,1194,43655,52125000,01,6,ai
20240617,00950,0000010304,시장가,01,매도,010120,LS ELECTRIC,240,151021,240,206350,49524000,01,6,ai
20240617,00950,0000010313,시장가,01,매도,033640,네패스,2923,151025,697,16844,11740680,01,6,ai
20240617,00950,0000010322,시장가,01,매도,035510,신세계 I&C,4470,151029,215,10633,2286140,01,6,ai
20240617,00950,0000010332,시장가,01,매도,053610,프로텍,1528,151034,565,32453,18336150,01,6,ai
20240617,00950,0000010337,시장가,01,매도,066570,LG전자,496,151037,496,100391,49794000,01,6,ai
