ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240614,00950,0000002359,시장가,02,매수,010120,LS ELECTRIC,178,093607,178,191600,34104800,01,4,ai
20240614,00950,0000002692,시장가,02,매수,000990,DB하이텍,837,094853,837,40737,34097100,01,4,ai
20240614,00950,0000018568,시장가,01,매도,000660,SK하이닉스,97,151007,97,221000,21437000,01,4,ai
20240614,00950,0000018576,시장가,01,매도,000990,DB하이텍,837,151010,837,40335,33761050,01,4,ai
20240614,00950,0000018582,시장가,01,매도,005930,삼성전자,221,151013,221,79992,17678400,01,4,ai
20240614,00950,0000018590,시장가,01,매도,010120,LS ELECTRIC,178,151017,178,200766,35736500,01,4,ai
20240614,00950,0000018596,시장가,01,매도,033640,네패스,1369,151019,1369,16997,23269200,01,4,ai
20240614,00950,0000018605,시장가,01,매도,053610,프로텍,639,151022,639,32295,20636650,01,4,ai
20240614,00950,0000018613,시장가,01,매도,066570,LG전자,208,151025,208,98852,20561400,01,4,ai
20240614,00950,0000018622,시장가,01,매도,093370,후성,2112,151028,2112,7757,16384230,01,4,ai
20240614,00950,0000018631,시장가,01,매도,118990,모트렉스,1266,151032,1266,13312,16853410,01,4,ai
20240614,00950,0000018641,시장가,01,매도,217820,원익피앤이,3216,151036,3216,4858,15623430,01,4,ai
