ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240617,00950,0000002160,시장가,02,매수,000660,SK하이닉스,44,092724,44,224488,9877500,01,7,ai
20240617,00950,0000002187,시장가,02,매수,000990,DB하이텍,239,092740,239,41450,9906600,01,7,ai
20240617,00950,0000002221,시장가,02,매수,033640,네패스,585,092752,585,16902,9888250,01,7,ai
20240617,00950,0000002271,시장가,02,매수,118990,모트렉스,740,092823,740,13390,9908960,01,7,ai
20240617,00950,0000002302,시장가,02,매수,066570,LG전자,99,092846,99,99687,9869100,01,7,ai
20240617,00950,0000002605,시장가,02,매수,053610,프로텍,306,093513,306,32352,9899750,01,7,ai
20240617,00950,0000008283,시장가,02,매수,010120,LS ELECTRIC,48,125826,48,205218,9850500,01,7,ai
20240617,00950,0000008934,시장가,02,매수,035510,신세계 I&C,898,133902,898,11078,9948490,01,7,ai
20240617,00950,0000010287,시장가,01,매도,000660,SK하이닉스,44,151015,44,223034,9813500,01,7,ai
20240617,00950,0000010297,시장가,01,매도,000990,DB하이텍,239,151018,239,43650,10432550,01,7,ai
20240617,00950,0000010306,시장가,01,매도,010120,LS ELECTRIC,48,151022,48,206177,9896500,01,7,ai
20240617,00950,0000010315,시장가,01,매도,033640,네패스,585,151026,585,16845,9854590,01,7,ai
20240617,00950,0000010324,시장가,01,매도,035510,신세계 I&C,898,151030,215,10633,2286140,01,7,ai
20240617,00950,0000010333,시장가,01,매도,053610,프로텍,306,151034,306,32451,9930300,01,7,ai
20240617,00950,0000010340,시장가,01,매도,066570,LG전자,99,151038,99,100400,9939600,01,7,ai
