ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240620,00950,0000002127,시장가,02,매수,000990,DB하이텍,186,093102,186,51704,9617000,01,2,ai
20240620,00950,0000002139,시장가,02,매수,033640,네패스,619,093115,619,15575,9640980,01,2,ai
20240620,00950,0000002153,시장가,02,매수,066570,LG전자,88,093131,88,108700,9565600,01,2,ai
20240620,00950,0000002166,시장가,02,매수,053610,프로텍,303,093148,303,31737,9616450,01,2,ai
20240620,00950,0000002179,시장가,02,매수,217820,원익피앤이,2103,093207,2103,4591,9655650,01,2,ai
20240620,00950,0000003898,시장가,02,매수,000660,SK하이닉스,41,103031,41,234500,9614500,01,2,ai
20240620,00950,0000004082,시장가,02,매수,005930,삼성전자,118,103518,118,81800,9652400,01,2,ai
20240620,00950,0000009791,시장가,02,매수,118990,모트렉스,705,140512,705,13700,9658570,01,2,ai
20240620,00950,0000011035,시장가,01,매도,000660,SK하이닉스,41,151007,41,236975,9716000,01,2,ai
20240620,00950,0000011040,시장가,01,매도,000990,DB하이텍,186,151009,186,57638,10720700,01,2,ai
20240620,00950,0000011046,시장가,01,매도,005930,삼성전자,118,151012,118,81900,9664200,01,2,ai
20240620,00950,0000011057,시장가,01,매도,033640,네패스,619,151018,619,15660,9693590,01,2,ai
20240620,00950,0000011070,시장가,01,매도,035510,신세계 I&C,171,151023,171,10650,1821150,01,2,ai
20240620,00950,0000011078,시장가,01,매도,053610,프로텍,303,151027,303,31553,9560600,01,2,ai
20240620,00950,0000011088,시장가,01,매도,066570,LG전자,88,151030,88,108506,9548600,01,2,ai
