ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240612,00950,0000003634,시장가,02,매수,005930,삼성전자,131,101945,131,75683,9914600,01,7,ai
20240612,00950,0000003645,시장가,02,매수,033640,네패스,574,102001,574,17298,9929370,01,7,ai
20240612,00950,0000003656,시장가,02,매수,118990,모트렉스,750,102025,750,13249,9937390,01,7,ai
20240612,00950,0000003686,시장가,02,매수,000990,DB하이텍,232,102110,232,42809,9931700,01,7,ai
20240612,00950,0000003747,시장가,02,매수,053610,프로텍,176,102424,176,32550,5728800,01,7,ai
20240612,00950,0000004242,시장가,02,매수,000660,SK하이닉스,26,105338,26,213480,5550500,01,7,ai
20240612,00950,0000005688,시장가,02,매수,093370,후성,709,113550,709,8056,5711950,01,7,ai
20240612,00950,0000010311,시장가,02,매수,066570,LG전자,57,142150,57,100352,5720100,01,7,ai
