ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240620,00950,0000002130,시장가,02,매수,000990,DB하이텍,93,093104,93,51798,4817300,01,1,ai
20240620,00950,0000002142,시장가,02,매수,033640,네패스,312,093118,312,15580,4860960,01,1,ai
20240620,00950,0000002160,시장가,02,매수,066570,LG전자,44,093139,44,108497,4773900,01,1,ai
20240620,00950,0000002176,시장가,02,매수,053610,프로텍,152,093200,152,31750,4826000,01,1,ai
20240620,00950,0000002182,시장가,02,매수,217820,원익피앤이,1059,093216,1059,4603,4874835,01,1,ai
20240620,00950,0000003492,시장가,02,매수,035510,신세계 I&C,461,101721,461,10535,4856760,01,1,ai
20240620,00950,0000003926,시장가,02,매수,000660,SK하이닉스,20,103117,20,234500,4690000,01,1,ai
20240620,00950,0000004087,시장가,02,매수,005930,삼성전자,59,103528,59,81762,4824000,01,1,ai
20240620,00950,0000009792,시장가,02,매수,118990,모트렉스,354,140517,354,13704,4851420,01,1,ai
20240620,00950,0000011043,시장가,01,매도,000660,SK하이닉스,20,151011,20,237000,4740000,01,1,ai
20240620,00950,0000011049,시장가,01,매도,000990,DB하이텍,93,151014,93,57600,5356800,01,1,ai
20240620,00950,0000011055,시장가,01,매도,005930,삼성전자,59,151017,59,82000,4838000,01,1,ai
20240620,00950,0000011067,시장가,01,매도,033640,네패스,312,151021,312,15660,4885920,01,1,ai
20240620,00950,0000011074,시장가,01,매도,035510,신세계 I&C,461,151025,461,10650,4909650,01,1,ai
20240620,00950,0000011082,시장가,01,매도,053610,프로텍,152,151028,152,31550,4795600,01,1,ai
