ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240617,00950,0000002158,시장가,02,매수,000660,SK하이닉스,43,092724,43,224488,9653000,01,2,ai
20240617,00950,0000002191,시장가,02,매수,000990,DB하이텍,237,092740,237,41450,9823700,01,2,ai
20240617,00950,0000002222,시장가,02,매수,033640,네패스,582,092752,582,16902,9837460,01,2,ai
20240617,00950,0000002273,시장가,02,매수,118990,모트렉스,736,092823,736,13390,9855360,01,2,ai
20240617,00950,0000002285,시장가,02,매수,217820,원익피앤이,1976,092833,1976,4969,9818930,01,2,ai
20240617,00950,0000002313,시장가,02,매수,066570,LG전자,98,092854,98,99698,9770500,01,2,ai
20240617,00950,0000002458,시장가,02,매수,053610,프로텍,305,093150,305,32297,9850650,01,2,ai
20240617,00950,0000003533,시장가,02,매수,035510,신세계 I&C,932,095736,932,10548,9831490,01,2,ai
20240617,00950,0000006801,시장가,02,매수,010120,LS ELECTRIC,48,113336,48,204479,9815000,01,2,ai
20240617,00950,0000008196,시장가,02,매수,005930,삼성전자,124,124926,124,79400,9845600,01,2,ai
20240617,00950,0000010270,시장가,01,매도,000660,SK하이닉스,43,151007,43,223081,9592500,01,2,ai
20240617,00950,0000010277,시장가,01,매도,000990,DB하이텍,237,151010,237,43651,10345450,01,2,ai
20240617,00950,0000010284,시장가,01,매도,005930,삼성전자,124,151013,124,78197,9696500,01,2,ai
20240617,00950,0000010294,시장가,01,매도,010120,LS ELECTRIC,48,151017,48,206166,9896000,01,2,ai
20240617,00950,0000010303,시장가,01,매도,033640,네패스,582,151021,582,16846,9804600,01,2,ai
