ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240617,00950,0000002165,시장가,02,매수,000660,SK하이닉스,220,092725,220,224472,49384000,01,4,ai
20240617,00950,0000002193,시장가,02,매수,000990,DB하이텍,1192,092740,1192,41435,49390850,01,4,ai
20240617,00950,0000002224,시장가,02,매수,033640,네패스,2919,092753,2919,16890,49302940,01,4,ai
20240617,00950,0000002259,시장가,02,매수,066570,LG전자,496,092811,496,99499,49351600,01,4,ai
20240617,00950,0000002275,시장가,02,매수,053610,프로텍,1532,092825,1532,32340,49545250,01,4,ai
20240617,00950,0000002287,시장가,02,매수,118990,모트렉스,3691,092835,3691,13374,49364420,01,4,ai
20240617,00950,0000002299,시장가,02,매수,217820,원익피앤이,9906,092845,9906,4958,49123230,01,4,ai
20240617,00950,0000002314,시장가,02,매수,035510,신세계 I&C,4685,092854,4685,10530,49336830,01,4,ai
20240617,00950,0000005670,시장가,02,매수,010120,LS ELECTRIC,243,105626,243,202802,49281000,01,4,ai
20240617,00950,0000008181,시장가,02,매수,005930,삼성전자,623,124857,623,79275,49388700,01,4,ai
20240617,00950,0000010267,시장가,01,매도,000660,SK하이닉스,220,151006,220,223227,49110000,01,4,ai
20240617,00950,0000010275,시장가,01,매도,000990,DB하이텍,1192,151009,1192,43655,52037950,01,4,ai
20240617,00950,0000010282,시장가,01,매도,005930,삼성전자,623,151013,623,78200,48718600,01,4,ai
20240617,00950,0000010293,시장가,01,매도,010120,LS ELECTRIC,243,151017,243,206078,50077000,01,4,ai
20240617,00950,0000010302,시장가,01,매도,033640,네패스,2919,151020,737,16845,12415080,01,4,ai
