ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240617,00950,0000002167,시장가,02,매수,000660,SK하이닉스,44,092725,44,224500,9878000,01,5,ai
20240617,00950,0000002195,시장가,02,매수,000990,DB하이텍,238,092740,238,41450,9865150,01,5,ai
20240617,00950,0000002460,시장가,02,매수,066570,LG전자,99,093152,99,99880,9888200,01,5,ai
20240617,00950,0000003136,시장가,02,매수,053610,프로텍,299,094821,299,32832,9816900,01,5,ai
20240617,00950,0000005088,시장가,02,매수,118990,모트렉스,737,103458,737,13409,9883160,01,5,ai
20240617,00950,0000008349,시장가,02,매수,010120,LS ELECTRIC,47,130203,47,208000,9776000,01,5,ai
20240617,00950,0000008935,시장가,02,매수,035510,신세계 I&C,892,133902,892,11078,9882190,01,5,ai
20240617,00950,0000010273,시장가,01,매도,000660,SK하이닉스,44,151009,44,223272,9824000,01,5,ai
20240617,00950,0000010279,시장가,01,매도,000990,DB하이텍,238,151013,238,43651,10389100,01,5,ai
20240617,00950,0000010289,시장가,01,매도,010120,LS ELECTRIC,47,151016,47,206170,9690000,01,5,ai
20240617,00950,0000010298,시장가,01,매도,035510,신세계 I&C,892,151019,215,10633,2286140,01,5,ai
20240617,00950,0000010307,시장가,01,매도,053610,프로텍,299,151023,299,32451,9702900,01,5,ai
20240617,00950,0000010316,시장가,01,매도,066570,LG전자,99,151027,99,100398,9939500,01,5,ai
20240617,00950,0000010325,시장가,01,매도,118990,모트렉스,737,151031,737,13221,9744160,01,5,ai
