ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240612,00950,0000002506,시장가,02,매수,000990,DB하이텍,766,093504,766,43195,33087900,01,2,ai
20240612,00950,0000002515,시장가,02,매수,033640,네패스,1904,093513,1904,17389,33110460,01,2,ai
20240612,00950,0000002524,시장가,02,매수,093370,후성,4139,093521,4139,7967,32979050,01,2,ai
20240612,00950,0000003594,시장가,01,매도,000990,DB하이텍,766,101843,766,42726,32728500,01,2,ai
20240612,00950,0000003602,시장가,01,매도,033640,네패스,1904,101845,1904,17291,32922740,01,2,ai
20240612,00950,0000003608,시장가,01,매도,093370,후성,4139,101848,4139,7929,32820450,01,2,ai
20240612,00950,0000003630,시장가,02,매수,005930,삼성전자,48,101944,48,75616,3629600,01,2,ai
20240612,00950,0000003639,시장가,02,매수,000990,DB하이텍,86,101957,86,42773,3678500,01,2,ai
20240612,00950,0000003652,시장가,02,매수,118990,모트렉스,277,102017,277,13260,3673020,01,2,ai
20240612,00950,0000003685,시장가,02,매수,217820,원익피앤이,704,102108,704,5214,3671310,01,2,ai
20240612,00950,0000003743,시장가,02,매수,053610,프로텍,190,102420,190,32550,6184500,01,2,ai
20240612,00950,0000004238,시장가,02,매수,000660,SK하이닉스,29,105333,29,213500,6191500,01,2,ai
20240612,00950,0000010009,시장가,02,매수,066570,LG전자,61,140525,61,100206,6112600,01,2,ai
