ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240620,00950,0000002132,시장가,02,매수,000990,DB하이텍,873,093104,873,51789,45212500,01,8,ai
20240620,00950,0000002149,시장가,02,매수,066570,LG전자,417,093127,417,108693,45325000,01,8,ai
20240620,00950,0000002170,시장가,02,매수,217820,원익피앤이,9887,093152,9887,4588,45362135,01,8,ai
20240620,00950,0000004611,시장가,02,매수,005930,삼성전자,552,104943,552,82100,45319200,01,8,ai
20240620,00950,0000008910,시장가,02,매수,000660,SK하이닉스,191,130736,191,236500,45171500,01,8,ai
20240620,00950,0000009816,시장가,02,매수,118990,모트렉스,3299,140549,3299,13783,45471680,01,8,ai
20240620,00950,0000009963,시장가,02,매수,033640,네패스,2883,141444,2883,15700,45265010,01,8,ai
20240620,00950,0000011037,시장가,01,매도,000660,SK하이닉스,191,151008,191,236924,45252500,01,8,ai
20240620,00950,0000011044,시장가,01,매도,000990,DB하이텍,873,151011,873,57610,50294100,01,8,ai
20240620,00950,0000011050,시장가,01,매도,005930,삼성전자,552,151014,552,81929,45225100,01,8,ai
20240620,00950,0000011056,시장가,01,매도,033640,네패스,2883,151017,2804,15652,43888940,01,8,ai
20240620,00950,0000011069,시장가,01,매도,035510,신세계 I&C,3906,151022,939,10643,9994500,01,8,ai
20240620,00950,0000011075,시장가,01,매도,066570,LG전자,417,151025,417,108513,45250000,01,8,ai
20240620,00950,0000011083,시장가,01,매도,118990,모트렉스,3299,151029,3299,13582,44810230,01,8,ai
20240620,00950,0000011094,시장가,01,매도,217820,원익피앤이,9887,151032,3976,4545,18073665,01,8,ai
