ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240614,00950,0000018564,시장가,01,매도,000660,SK하이닉스,3,151006,3,221000,663000,01,3,ai
20240614,00950,0000018570,시장가,01,매도,000990,DB하이텍,16,151009,16,40318,645100,01,3,ai
20240614,00950,0000018577,시장가,01,매도,005930,삼성전자,9,151011,9,79900,719100,01,3,ai
20240614,00950,0000018581,시장가,01,매도,010120,LS ELECTRIC,1,151013,1,200500,200500,01,3,ai
20240614,00950,0000018586,시장가,01,매도,033640,네패스,41,151016,41,17001,697070,01,3,ai
20240614,00950,0000018593,시장가,01,매도,053610,프로텍,22,151018,22,32250,709500,01,3,ai
20240614,00950,0000018602,시장가,01,매도,066570,LG전자,7,151021,7,98800,691600,01,3,ai
20240614,00950,0000018610,시장가,01,매도,093370,후성,90,151024,90,7748,697400,01,3,ai
20240614,00950,0000018618,시장가,01,매도,118990,모트렉스,51,151027,51,13312,678920,01,3,ai
20240614,00950,0000018629,시장가,01,매도,217820,원익피앤이,131,151031,131,4840,634100,01,3,ai
