ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240611,00950,0000002448,시장가,02,매수,033640,네패스,1906,093406,1906,17348,33066490,01,2,ai
20240611,00950,0000002455,시장가,02,매수,093370,후성,4248,093413,4248,7780,33050290,01,2,ai
20240611,00950,0000002475,시장가,02,매수,035510,신세계 I&C,3081,093437,3081,10773,33194240,01,2,ai
20240611,00950,0000007676,시장가,01,매도,033640,네패스,1906,113204,1906,17266,32909400,01,2,ai
20240611,00950,0000007680,시장가,01,매도,035510,신세계 I&C,3081,113205,3081,10725,33044490,01,2,ai
20240611,00950,0000007685,시장가,01,매도,093370,후성,4248,113207,4248,7850,33347180,01,2,ai
