ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id
20240610,00950,0000005049,시장가,02,매수,000660,SK하이닉스,159,105949,159,207572,33004000,01,2
20240610,00950,0000005066,시장가,02,매수,093370,후성,4382,110003,4382,7545,33064970,01,2
20240610,00950,0000005071,시장가,02,매수,066570,LG전자,328,110009,328,100785,33057800,01,2
20240610,00950,0000009512,시장가,01,매도,000660,SK하이닉스,159,151157,159,208852,33207500,01,2
20240610,00950,0000009513,시장가,01,매도,066570,LG전자,328,151159,328,100800,33062600,01,2
20240610,00950,0000009514,시장가,01,매도,093370,후성,4382,151200,4382,7602,33316280,01,2
