ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240610,00950,0000005886,시장가,02,매수,000660,SK하이닉스,15,114230,15,208000,3120000,01,3,AI
20240610,00950,0000005894,시장가,02,매수,093370,후성,437,114238,0,0,0,01,3,AI
20240610,00950,0000005898,시장가,02,매수,066570,LG전자,32,114242,0,0,0,01,3,AI
