ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240612,00950,0000002509,시장가,02,매수,000990,DB하이텍,76,093504,76,43200,3283200,01,3,ai
20240612,00950,0000002516,시장가,02,매수,033640,네패스,191,093513,191,17377,3319130,01,3,ai
20240612,00950,0000002529,시장가,02,매수,093370,후성,415,093522,415,7982,3312830,01,3,ai
20240612,00950,0000003596,시장가,01,매도,000990,DB하이텍,76,101843,76,42736,3247950,01,3,ai
20240612,00950,0000003603,시장가,01,매도,033640,네패스,191,101845,191,17305,3305390,01,3,ai
20240612,00950,0000003609,시장가,01,매도,093370,후성,415,101848,415,7944,3297040,01,3,ai
20240612,00950,0000003633,시장가,02,매수,005930,삼성전자,9,101945,9,75688,681200,01,3,ai
20240612,00950,0000003641,시장가,02,매수,000990,DB하이텍,16,101958,16,42756,684100,01,3,ai
20240612,00950,0000003655,시장가,02,매수,118990,모트렉스,51,102020,51,13260,676260,01,3,ai
20240612,00950,0000003660,시장가,02,매수,217820,원익피앤이,131,102029,131,5229,685120,01,3,ai
20240612,00950,0000003740,시장가,02,매수,033640,네패스,41,102412,41,17320,710120,01,3,ai
20240612,00950,0000003754,시장가,02,매수,053610,프로텍,22,102430,22,32550,716100,01,3,ai
20240612,00950,0000003782,시장가,02,매수,093370,후성,90,102542,90,7940,714610,01,3,ai
20240612,00950,0000003920,시장가,02,매수,000660,SK하이닉스,3,103454,3,212166,636500,01,3,ai
20240612,00950,0000009974,시장가,02,매수,066570,LG전자,7,140302,7,100300,702100,01,3,ai
