ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240612,00950,0000002508,시장가,02,매수,000990,DB하이텍,767,093504,767,43195,33131100,01,5,ai
20240612,00950,0000002517,시장가,02,매수,033640,네패스,1907,093513,1907,17389,33162630,01,5,ai
20240612,00950,0000002664,시장가,02,매수,005930,삼성전자,437,093936,437,75730,33094100,01,5,ai
20240612,00950,0000003593,시장가,01,매도,000990,DB하이텍,767,101843,767,42726,32771250,01,5,ai
20240612,00950,0000003601,시장가,01,매도,005930,삼성전자,437,101845,437,75594,33034900,01,5,ai
20240612,00950,0000003607,시장가,01,매도,033640,네패스,1907,101848,1907,17291,32974560,01,5,ai
20240612,00950,0000003631,시장가,02,매수,005930,삼성전자,90,101945,90,75654,6808900,01,5,ai
20240612,00950,0000003651,시장가,02,매수,118990,모트렉스,514,102016,514,13256,6813820,01,5,ai
20240612,00950,0000003752,시장가,02,매수,053610,프로텍,193,102427,193,32550,6282150,01,5,ai
20240612,00950,0000008140,시장가,02,매수,000990,DB하이텍,146,124112,146,42924,6266950,01,5,ai
20240612,00950,0000009260,시장가,02,매수,000660,SK하이닉스,29,131458,29,215500,6249500,01,5,ai
