ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240620,00950,0000002126,시장가,02,매수,000990,DB하이텍,879,093102,879,51757,45494900,01,6,ai
20240620,00950,0000002145,시장가,02,매수,066570,LG전자,419,093122,419,108631,45516600,01,6,ai
20240620,00950,0000002169,시장가,02,매수,217820,원익피앤이,9937,093151,9937,4588,45591885,01,6,ai
20240620,00950,0000004547,시장가,02,매수,005930,삼성전자,555,104816,555,81999,45509600,01,6,ai
20240620,00950,0000008554,시장가,02,매수,000660,SK하이닉스,193,125346,193,235500,45451500,01,6,ai
20240620,00950,0000009805,시장가,02,매수,118990,모트렉스,3321,140531,3321,13771,45735380,01,6,ai
20240620,00950,0000009962,시장가,02,매수,033640,네패스,2913,141428,2913,15680,45678330,01,6,ai
20240620,00950,0000011052,시장가,01,매도,000660,SK하이닉스,193,151016,193,236924,45726500,01,6,ai
20240620,00950,0000011065,시장가,01,매도,000990,DB하이텍,879,151021,879,57634,50660300,01,6,ai
20240620,00950,0000011077,시장가,01,매도,005930,삼성전자,555,151026,555,81965,45491000,01,6,ai
20240620,00950,0000011085,시장가,01,매도,033640,네패스,2913,151029,2803,15652,43873280,01,6,ai
20240620,00950,0000011096,시장가,01,매도,035510,신세계 I&C,3709,151033,938,10643,9983850,01,6,ai
20240620,00950,0000011105,시장가,01,매도,066570,LG전자,419,151036,419,108506,45464100,01,6,ai
20240620,00950,0000011117,시장가,01,매도,118990,모트렉스,3321,151040,3299,13583,44811310,01,6,ai
20240620,00950,0000011122,시장가,01,매도,217820,원익피앤이,9937,151045,3093,4544,14056345,01,6,ai
