ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id
20240610,00950,0000005886,시장가,02,매수,000660,SK하이닉스,15,114230,15,208000,3120000,01,3
20240610,00950,0000005894,시장가,02,매수,093370,후성,437,114238,437,7580,3312460,01,3
20240610,00950,0000005898,시장가,02,매수,066570,LG전자,32,114242,32,100700,3222400,01,3
20240610,00950,0000009505,시장가,01,매도,000660,SK하이닉스,15,151110,15,208533,3128000,01,3
20240610,00950,0000009507,시장가,01,매도,066570,LG전자,32,151111,32,100831,3226600,01,3
20240610,00950,0000009508,시장가,01,매도,093370,후성,437,151113,437,7594,3318830,01,3
