ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240612,00950,0000002510,시장가,02,매수,000990,DB하이텍,3117,093504,3117,43191,134628750,01,4,ai
20240612,00950,0000002520,시장가,02,매수,033640,네패스,7736,093513,7736,17318,133977570,01,4,ai
20240612,00950,0000003592,시장가,01,매도,000990,DB하이텍,3117,101842,3117,42770,133315000,01,4,ai
20240612,00950,0000003600,시장가,01,매도,033640,네패스,6367,101845,6367,17261,109906580,01,4,ai
20240612,00950,0000003605,시장가,01,매도,035510,신세계 I&C,8747,101847,8747,10606,92771870,01,4,ai
20240612,00950,0000003635,시장가,02,매수,005930,삼성전자,221,101946,221,75690,16727600,01,4,ai
20240612,00950,0000003642,시장가,02,매수,093370,후성,2112,101958,2112,7933,16756270,01,4,ai
20240612,00950,0000003654,시장가,02,매수,118990,모트렉스,1266,102020,1266,13241,16764070,01,4,ai
20240612,00950,0000003661,시장가,02,매수,217820,원익피앤이,3216,102029,3216,5210,16757770,01,4,ai
20240612,00950,0000003742,시장가,02,매수,053610,프로텍,639,102420,639,32544,20795950,01,4,ai
20240612,00950,0000003927,시장가,02,매수,000660,SK하이닉스,97,103507,97,212000,20564000,01,4,ai
20240612,00950,0000009973,시장가,02,매수,066570,LG전자,208,140253,208,100200,20841600,01,4,ai
