ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id,trade_type
20240614,00950,0000018567,시장가,01,매도,000660,SK하이닉스,17,151007,17,221000,3757000,01,1,ai
20240614,00950,0000018575,시장가,01,매도,000990,DB하이텍,46,151010,46,40336,1855500,01,1,ai
20240614,00950,0000018579,시장가,01,매도,005930,삼성전자,26,151012,26,79930,2078200,01,1,ai
20240614,00950,0000018587,시장가,01,매도,010120,LS ELECTRIC,12,151016,12,201000,2412000,01,1,ai
20240614,00950,0000018595,시장가,01,매도,033640,네패스,154,151018,154,17007,2619200,01,1,ai
20240614,00950,0000018601,시장가,01,매도,053610,프로텍,111,151021,111,32263,3581200,01,1,ai
20240614,00950,0000018609,시장가,01,매도,066570,LG전자,36,151024,36,98883,3559800,01,1,ai
20240614,00950,0000018615,시장가,01,매도,093370,후성,456,151027,456,7750,3534000,01,1,ai
20240614,00950,0000018625,시장가,01,매도,118990,모트렉스,150,151030,150,13314,1997120,01,1,ai
20240614,00950,0000018637,시장가,01,매도,217820,원익피앤이,381,151034,381,4840,1844310,01,1,ai
